一	yī	yi1	one; a, an; alone	？	ideographic			Represents heaven (天), earth (旦), or the number 1	Although 一 is sometimes said to represent an outstretched finger, the phonetic evidence suggests the fundamental idea is that of its cognate 壹 (unity of contents). 一 may therefore be regarded as an abstract representation of unity, or fullness → *one*.
上	shàng	shang4	above, on top, superior; to go up; to attend; previous	⿱⺊一	ideographic			One stroke on top of another; compare 下 (below)	A depiction of one line above another, suggesting the idea of rising *above* (contrast 下) → *up*; *upper*; *top* → *rise*; *raise*; *offer*. Other extended meanings include *ascent*; *readiness*; *completion*; *just after*; *go up*; *climb*; *enter*; *end*; *increase*; *improve*; *on*; *beyond*; *first* (half); *emperor*; *raise/bring up* (a matter); *record*; *upward* (bound); *go to the capital*; and *reach*.
下	xià	xia4	below, underneath; inferior; to bring down; next	⿱一卜	ideographic			One stroke under another; compare 上 (above)	The relevant oracle bone form of this character is a depiction of one line below another, suggesting the idea of *under* (contrast 上) → *low*; *lower*; *below*; *down*; *subordinate*; *descend*. Extended meanings from "down" or "below" include *come/go down*; *fall*; *drop*; *hang* (down/from); *hand down*; *younger*; *have diarrhea*; *abort* (a fetus); *step/move back*; *withdraw*; *leave the capital*; *retire* and *surrender*. By further extension are *carry*, *remove* and *clear a table* (← take down from a table); *grate* (← grated shavings that fall below); *give* and *do someone the favor of *(← hand ← hand down); *obtain* (← be handed/given); and *latter half* (← bottom/lower of two halves).
不	bù	bu4	no, not, un-; negative prefix	⿱一？	ideographic			A bird flying toward the sky 一	A depiction of a bulging, swollen bud (compare 芣). *Not* and *un-* are borrowed meanings (compare 拂 and 非).
东	dōng	dong1	east, eastern, eastward	⿻七小	pictographic			Simplified form of 東, the sun 日 rising behind a tree 木
两	liǎng	liang3	two, both, pair, couple; ounce	⿱一⿻冂从	ideographic			Two people 从 together in a cart
个	gè	ge4	this, that; single; measure word for individuals	⿱人丨	ideographic			A tally 丨 of people 人	The left-hand portion of the character 竹 bamboo, serving as an abbreviated form of 箇 *counter*.
中	zhōng	zhong1	central; center, middle; amidst; to hit (target), to attain; China; Chinese	⿻口丨	ideographic			A line 丨 through the center of a box 口	The relevant oracle bone form of this character shows banners centered on the flagpole run through them → *center/middle* → *inside* → *throughout*; *including*; *the mean*.
为	wèi	wei4	to do, to act; to handle, to govern; to be	⿻丶⿴力丶
么	me	yao1	interrogative particle	⿱丿厶
之	zhī	zhi1	marks preceding phrase as modifier of following phrase; it, him her, them; to go to	⿱丶？	ideographic			A foot meaning "to follow"; cursive version of 止	A depiction of a foot/leg in forward motion → *go*; *reach*. *This* and *of* are borrowed meanings.
也	yě	ye3	also, too	⿻？乚					A depiction of a long snake (compare 它). *To be* is a borrowed meaning. Conceptually, 也 suggests the idea "stretch."
了	le, liǎo	le5	clear; to finish; particle of completed action	⿱乛亅	pictographic			A child swaddled in blanklets; compare 子	A depiction of a long object such as a thread rolled back upon itself → *completion* (← roll up a lengthy object) → *comprehend* (← complete the process of understanding, and comprehend).
事	shì	shi4	affair, matter, business; to serve; accident, incident	⿻⿳一口彐亅					The relevant oracle bone form of this character is 又 hand/action indicator + an upright tube for holding slender, inscribed bamboo slats → an official raising a slender tube containing bamboo slats inscribed with records → *matter*; *affair*; *thing* (← matters recorded) → *job*; *work*; *serve*; *attend to* (← carry out official duties). Originally the same character as 史, but 事 and 史 came to bear divergent meanings (compare the same process in 句 and 局).
于	yú	yu2	at, in, on; to, from; alas!	⿻二亅					A depiction of an object that stretches before bending into a U-shape. *Here*, *from*, *interrogative particle*, *go*, and *exclamation of lament* are borrowed meanings.
些	xiē	xie1	little, few; rather, somewhat	⿱此二	pictophonetic	此	二	two	As per 此# (line up irregularly) and as per 二 (align) → align objects irregularly, leaving *a bit* of space between them → *a little*; *few*.
亲	qīn	qin1	relatives, parents; intimate; the hazelnut tree	⿱立⿻一小	ideographic			A tree 木 bearing fruit 立
人	rén	ren2	man, person; people	？	pictographic			The legs of a human being	A depiction of a standing *person* reaching toward another, suggesting people in mutable interaction → *human* (being). Compare 仁. In dual-element characters, 人 nearly always appears on the left in the form 亻. In many such characters (價 儗 仰 儆 偃 儀 etc.), 人 suggests human agency, but there are others in which 人 has no semantic function at all. In these cases (伎 優 供 佑 傾 佹 etc.), 人 is used simply to create a derivative character conveying meanings that dropped from the original one.
什	shén	shi2	what? mixed, miscellaneous	⿰亻十	ideographic			A file of ten 十 people 亻	十# ten + 人 person → *unit/group of ten* soldiers or other persons → *ten*; *a number of objects* → ordinary *utensil*.
今	jīn	jin1	modern, current; today, now	⿱人？	ideographic			A mouth 亼 talking about things	A depiction of one object contained and concealed within another. It is likely the concealing object was originally a mouth (compare 含 and 吟, as well as 甘 and 音). *Now* is a borrowed meaning.
从	cóng	cong2	from, by, since, whence, through	⿰人人	ideographic			One person 人 following another
他	tā	ta1	other, another; he, she, it	⿰亻也	ideographic			An additional, "also" 也  person 亻	A variant form of 佗, and thus the meanings *another* person → *other*; *separate*.
以	yǐ	yi3	according to; so as to; because of; then	⿰？人					Originally, an abbreviated form# of 台 (plow furrows) + 人 person (→ human agency) → *use* a plow to plow furrows → *with*; *by*; *from* (← create furrows with/by means of a plow).
们	men	men5	plural marker for pronouns and some nouns	⿰亻门	pictophonetic	门	亻	people
件	jiàn	jian4	item, matter; component, part; measure word for events	⿰亻牛	ideographic			A man 亻 dividing up a cow 牛	牛 cow + 人# person → person sorting the meat and bones of a dismembered cow carcass (compare 解) → *item*; *case* (← sort through one by one).
任	rèn	ren4	to trust, to rely on; to appoint; to bear; duty, office	⿰亻壬	pictophonetic	壬	亻	person	As per 壬# (encompass) + 人 person (→ human agency) → encompass/bear *responsibility* → *duty* → *undertake* (← undertake a duty/responsibility) → *entrust*; *leave* (up to another) (← entrust/leave up to another a duty or responsibility) → *leave to chance*; *endure* (← endure a duty).
伙	huǒ	huo3	companion, colleague; utensils	⿰亻火	pictophonetic	火	亻	person
会	huì	hui4	to assemble, to meet; meeting; association, group	⿱人云	ideographic			People 人 speaking 云
但	dàn	dan4	only; but, however, yet, still	⿰亻旦	pictophonetic	旦			As per 旦# (long and flat) + 人 person (→ human agency) → make something long and flat. *But*, *however*, *provided that* and *just* are borrowed meanings.
住	zhù	zhu4	to reside, to live at, to dwell, to lodge; to stop	⿰亻主	ideographic			A person 亻 who hosts 主; 主 also provides the pronunciation	As per 主# (stationary) + 人 person → person remaining stationary → *dwell*; *reside*; *inhabit*; *live* → *remain put*; *house*; *home*; *address*; *dwelling*.
何	hé	he2	what, why, where, which, how	⿰亻可					Originally, a depiction of a person bearing on the shoulder a load hung from a long pole. The bronzeware and seal inscription forms, though, are 人 + 可# (bend). *What* is a borrowed meaning.
作	zuò	zuo4	to make; to write, to compose; to act, to perform	⿰亻乍	ideographic			A person 亻 making something for the first time 乍; 乍 also provides the pronunciation	As per 乍# (create a pile): → *work*, in the form of making a pile by chopping/cutting → *make*; *craft*; *change into*; *crop*. Compare 似. Here, 人 has no semantic function, being used simply to create a derivative character conveying meanings that dropped from the original one.
